Date,Description,Hours,Minutes,Property,Team Member,Category,Activity Group,Activity Subcategory,Type
2023-04-18T14:32:47.105Z,Travel to Property,1,47,Empire State Building,Fire,NO,Property Selling / Other,Attempted property acquisitions / Communications with seller,STR
2023-04-19T11:31:37.252Z,Travel to Property,0,18,Empire State Building,Fire,YES,Property Improvements / Development activities,Attempted property acquisitions / Property inspections,STR
2023-04-20T11:05:50.003Z,Travel to Property,1,54,"20 W 34th St., New York, NY 10001, USA",Fire,YES,Property Management / Property showings,Attempted property acquisitions / Property inspections,STR
2023-04-21T00:19:46.224Z,Travel to Property,1,48,"20 W 34th St., New York, NY 10001, USA",Fire,YES,Property Acquisition (successful) / Other,Attempted property acquisitions / Communications with seller,STR
2023-04-21T07:38:28.787Z,Travel to Property,1,33,Hell's Kitchen,Fire,YES,Property Acquisition (successful) / Communications with agent or broker,Networking / Other,STR
2023-04-21T07:38:28.787Z,Travel to Property,2,40,Empire State Building,Fire,YES,Property Management / Property inspections,Business Oversight / Meeting with RE tax advisor,STR
2023-04-28T06:24:32.601Z,Travel to Property,0,15,"Hell's Kitchen, New York, NY, USA",Fire,NO,Property Acquisition (successful) / Property inspections,Networking / Other,STR
2023-04-28T07:42:38.808Z,Travel to Property,1,58,"Hell's Kitchen, New York, NY, USA",Fire,YES,Property Improvements / Other,Attempted property acquisitions / Speaking to prospective sellers,STR
2023-05-04T14:47:11.730Z,Travel to Property,1,28,Empire State Building,Fire,YES,Property Management / Bookkeeping,Business Oversight / Meeting with RE financial advisor,STR
2023-05-09T06:18:18.490Z,Travel to Property,1,27,Hell's Kitchen,Fire,YES,Property Acquisition (successful) / Researching terms of financing,Networking / Attending real estate club meeting,STR
2023-05-09T06:18:18.490Z,Travel to Property,1,27,Empire State Building,Fire,YES,Property Acquisition (successful) / Researching terms of financing,Networking / Attending real estate club meeting,STR
2023-05-14T07:25:10.984Z,Travel to Property,1,48,"20 W 34th St., New York, NY 10001, USA",Fire,YES,Rental Property Business / Investigating market rents and services,Real Estate Career Development / Real estate course,STR
2023-05-17T14:29:03.664Z,Travel to Property,2,42,"Hell's Kitchen, New York, NY, USA",Fire,YES,Rental Property Business / Generating financial statements,Other / Other,STR
2023-05-18T15:10:57.405Z,Travel to Property,2,43,"Hell's Kitchen, New York, NY, USA",Fire,YES,Rental Property Business / Emails and other correspondence,Networking / Attending real estate club meeting,STR
2023-05-29T14:31:54.284Z,Travel to Property,2,50,Empire State Building,Fire,NO,Dealing with vendors / Negotiating property services,Attempted property acquisitions / Making offer contracts,STR
2023-05-31T20:28:06.924Z,Travel to Property,0,45,Hell's Kitchen,Fire,YES,Rental Property Business / Paying bills or making deposits,Business Oversight / Meeting with RE tax advisor,STR
2023-06-05T14:10:56.914Z,Travel to Property,2,15,Empire State Building,Fire,YES,Property Selling / Communications with agent/broker,Attempted property acquisitions / Communications with seller,STR
2023-06-09T15:30:50.698Z,Travel to Property,0,54,Empire State Building,Fire,YES,Property Acquisition (successful) / Obtaining financing,Attempted property acquisitions / Other,STR
2023-06-10T01:50:39.341Z,Travel to Property,2,41,"20 W 34th St., New York, NY 10001, USA",Fire,NO,Property Improvements / Managing & overseeing projects,Networking / Money-raising,STR
2023-06-10T11:09:13.876Z,Travel to Property,2,45,"Hell's Kitchen, New York, NY, USA",Fire,NO,Property Acquisition (successful) / Communications with agent or broker,Networking / Meeting with agents/brokers,STR
